council_lead,fmp,stock,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Blackspotted and Rougheye Rockfish Complex - Bering Sea / Aleutian Islands,Sebastes melanostictus, Sebastes aleutianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Gulf of Alaska,Blackspotted and Rougheye Rockfish Complex - Gulf of Alaska,Sebastes melanostictus, Sebastes aleutianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Blackspotted and Rougheye Rockfish Complex - Pacific Coast,Sebastes melanostictus, Sebastes aleutianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Gopher / Black-and-Yellow Rockfish Complex - Northern California,Sebastes carnatus, Sebastes chrysomelas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Blue and Deacon Rockfish Complex - California,Sebastes mystinus, Sebastes diaconus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Blue and Deacon Rockfish Complex - Oregon,Sebastes mystinus, Sebastes diaconus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Tunas Complex - Puerto Rico,Euthynnus alletteratus, Thunnus atlanticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Bluefin tuna - Western Atlantic,Thunnus thynnus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Crevalle jack - Puerto Rico,Caranx hippos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Great barracuda - Puerto Rico,Sphyraena barracuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
