council,council_lead,fmp,stock_orig,stock,species,completed_by,QC_by,FSSI_yn,prohibited_yn,allocation_yn,country_list,country_notes,state_list,state_yrs,state_notes,area_list,area_yrs,area_notes,sector_type,sector_list,sector_yrs,sector_basis,sector_notes,subsector_list_rec,subsector_list_comm,subsector_yrs,subsector_notes,rsa_notes,bycatch_notes,effort_alloc_notes,season_list,season_yrs,season_notes,shares_yn,shares_start_yr,shares_basis,shares_yrs,share_cap,shares_transfer_yn,shares_owner,share_management,share_new_entrants,shares_notes,source,notes,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Black sea bass - Southern Atlantic Coast,Black sea bass - Southern Atlantic Coast,Centropristis striata,ZJK,,y,,y,,,,,,,,,explicit,"recreational (57%), commercial (43%)",1999-2003,catch,,,,,,,,,,,,,,historical,,,,NA,,,,,,Centropristis striata,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Grouper 3 Complex,Grouper 3 Complex - Puerto Rico,"Cephalopholis cruentata, Cephalopholis fulva",ZJK,,n,,y,,,,,,,,,implicit,"commercial (55%), recreational (45%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Cephalopholis cruentata,Cephalopholis fulva,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Golden Crab Fishery of the South Atlantic Region,Golden deepsea crab - Southern Atlantic Coast,Golden deepsea crab - Southern Atlantic Coast,Chaceon fenneri,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaceon fenneri,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Deep-Sea Red Crab,Red deepsea crab - Northwestern Atlantic,Red deepsea crab - Northwestern Atlantic,Chaceon quinquedens,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaceon quinquedens,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Atlantic spadefish - Southern Atlantic Coast,Atlantic spadefish - Southern Atlantic Coast,Chaetodipterus faber,ZJK,,n,,y,,,,,,,,,explicit,"commercial (18.53%), recreational (81.47%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,NA,,,,,,Chaetodipterus faber,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Southern Tanner crab - Bering Sea,Southern Tanner crab - Bering Sea,Chionoecetes bairdi,ZJK,,y,,y,,,,,,,,,,,,,,,CDQ; non-CDQ,,,,,,,,,y,2005,historical,Best 4/6 1991/92-1996,CVO/CP = 1%; CVC/CPC = 2%,y,individual_processor_crew,NPFMC,crew_loans,initial allocations higher than current cap limit are grandfathered in; IFQ (annual limit) cap 2x QS cap for each species; federal crew loan program to obtain quota (both crew and captains); both QS and IFQ can be transfered,https://www.law.cornell.edu/cfr/text/50/680.42; https://media.fisheries.noaa.gov/dam-migration/bsai-crab-rat-faq-101518.pdf; https://fisherysolutionscenter.edf.org/sites/default/files/2022-08/Catch%20Shares%20in%20Action%20-%20United%20States%20Bering%20Sea%20and%20Aleutian%20Islands%20Crab%20Rationalization%20Program.pdf,"Crew can also have QS, but makes up very small portion (3%), also, processors and individuals with QS can form cooperatives together",Chionoecetes bairdi,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Fish Resources of the Arctic Management Area,Snow crab - Arctic Management Area,Snow crab - Arctic Management Area,Chionoecetes opilio,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chionoecetes opilio,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Snow crab - Bering Sea,Snow crab - Bering Sea,Chionoecetes opilio,ZJK,,y,,y,,,,,,,,,,,,,,,CDQ; non-CDQ,,,,,,,,,y,2005,historical,Best 4/5 1996-2000,CVO/CP = 1%; CVC/CPC = 2%,y,individual_processor_crew,NPFMC,crew_loans,initial allocations higher than current cap limit are grandfathered in; IFQ (annual limit) cap 2x QS cap for each species; federal crew loan program to obtain quota (both crew and captains); both QS and IFQ can be transfered,https://www.law.cornell.edu/cfr/text/50/680.42; https://media.fisheries.noaa.gov/dam-migration/bsai-crab-rat-faq-101518.pdf; https://fisherysolutionscenter.edf.org/sites/default/files/2022-08/Catch%20Shares%20in%20Action%20-%20United%20States%20Bering%20Sea%20and%20Aleutian%20Islands%20Crab%20Rationalization%20Program.pdf,"Crew can also have QS, but makes up very small portion (3%), also, processors and individuals with QS can form cooperatives together",Chionoecetes opilio,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Pacific sanddab - Pacific Coast,Pacific sanddab - Pacific Coast,Citharichthys sordidus,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citharichthys sordidus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Atlantic Herring,Atlantic herring - Northwestern Atlantic Coast,Atlantic herring - Northwestern Atlantic Coast,Clupea harengus,ZJK,,y,,y,,,,,,"1A (28.9%), 1B (4.3%), 2 (27.8%), 3 (39%)",,,,,,,,,"Area 1A West of Cutler-ME (30 mt until Nov 1), non-herring fisheries (<5%), other herring fisheries (remainder)",,,3% max; 0% since 2002 too match declining ACLs,5% max,,"Season 1 (72.8%), Season 2 (27.2%)",2000-2007,"only for area 1A now, but allowed for other areas; seasons annually decided, can be bi-monthly, trimester, or seasonal; based on when demand for lobster bait is highest",,,,,,NA,NA,,,,,,Clupea harengus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Dolphinfish Complex,Dolphinfish Complex - Puerto Rico,Coryphaena equiselis,ZJK,,n,,y,,,,,,,,,implicit,"commercial (13.3%), recreational (86.7%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Coryphaena equiselis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Dolphinfish - Pacific,Dolphinfish - Pacific,Coryphaena hippurus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Coryphaena hippurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Dolphin and Wahoo Fishery of the Atlantic,Dolphinfish - Southern Atlantic Coast,Dolphinfish - Southern Atlantic Coast,"Coryphaena hippurus, Coryphaena hippurus",ZJK,,y,,y,,,,,,,,,explicit,"recreational (93%), commercial (7%) ",,commercial ACL,"no longer associated w/ catch history, just mgmt taregts",,,,,,,,,,,,,historical,,,,,,,,,,Coryphaena hippurus,Coryphaena hippurus,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico southern stingray,Southern stingray - Puerto Rico,Dasyatis americana,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Dasyatis americana,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Skate Complex,Barndoor skate - Georges Bank / Southern New England,Barndoor skate - Georges Bank / Southern New England,Dipturus laevis,ZJK,,n,,y,,,,,,,,,,,,,,,"skate wing fishery (66.5%), bait fishery (33.5%)",1995-2006,,,incidental catch from groundfish/scallop/monkfish/state fisheries,,"Wing fishery: 2 seasons, Bait fishery: 3 seasons",,,,,historical,,,,,,,,,"most skates harvested are either little or winter, therefore, you can argue there isn't allocation of little skate. however, all skate species in the NE skate complex are managed as one, and there's an overall allocation between the bait fishery and the wing fishery, so maybe that accounts? but weird because it's above the scale of the stock",Dipturus laevis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Coastal Pelagic Species,Opalescent inshore squid - Pacific Coast,Opalescent inshore squid - Pacific Coast,Doryteuthis opalescens,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doryteuthis opalescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFMC,MAFMC,"Mackerel, Squid and Butterfish",Longfin inshore squid - Georges Bank / Cape Hatteras,Longfin inshore squid - Georges Bank / Cape Hatteras,Doryteuthis pealeii,CMF,,y,,y,,,,,,,,,,,,,,,,,,,,,"T1: Jan-Apr (43%), T2: May-Aug (17%), T3: Sep-Dec (40%)",,,,,,,,,,,,,,,Doryteuthis pealeii,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico rainbow runner,Rainbow runner - Puerto Rico,Elagatis bipinnulata,ZJK,,n,,y,,,,,,,,,implicit,"commercial (10%), recreational (90%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Elagatis bipinnulata,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Fish Resources of the Arctic Management Area,Saffron cod - Arctic Management Area,Saffron cod - Arctic Management Area,Eleginus gracilis,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eleginus gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Coastal Pelagic Species,Northern anchovy - Northern Pacific Coast,Northern anchovy - Northern Pacific Coast,Engraulis mordax,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engraulis mordax,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Coastal Pelagic Species,Northern anchovy - Southern Pacific Coast,Northern anchovy - Southern Pacific Coast,Engraulis mordax,,,y,,,"US (82%), Mexico (18%)",static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engraulis mordax,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Bering Sea / Aleutian Islands Octopus Complex,Octopus Complex - Bering Sea / Aleutian Islands,"Enteroctopus dofleini, Benthoctopus leioderma, Benthoctopus oregonensis, Sasakiopus salebrosus, Japetella diaphana, Opisthoteuthis californiana, Graneledone boreopacifica, Benthoctopus sp.",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enteroctopus dofleini,Benthoctopus leioderma,Benthoctopus oregonensis,Sasakiopus salebrosus,Japetella diaphana,Opisthoteuthis californiana,Graneledone boreopacifica,Benthoctopus sp.,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Petrale sole - Pacific Coast,Petrale sole - Pacific Coast,Eopsetta jordani,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eopsetta jordani,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Speckled hind - Southern Atlantic Coast,Speckled hind - Southern Atlantic Coast,Epinephelus drummondhayi,ZJK,,n,y,y,,,,,,,,,explicit,"commercial (65.59%), recreational (34.41%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,NA,,,,,closed since 2019!!!,Epinephelus drummondhayi,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Reef Fish Resources of the Gulf of Mexico,Yellowedge grouper - Gulf of Mexico,Yellowedge grouper - Gulf of Mexico,Hyporthodus flavolimbatus,ZJK,,y,,y,,,,,,,,,implicit,"recreational (4.3%), commercial (95.7%)",not specified,,,,,,,,,,,,,,,,,,,,,,,,,Hyporthodus flavolimbatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC Grouper 3 Complex,Grouper 3 Complex - St. Croix,"Epinephelus fulvus, Cephalopholis cruentata",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Epinephelus fulvus,Cephalopholis cruentata,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ Grouper 3 Complex,Grouper 3 Complex - St. Thomas / St. John,"Epinephelus fulvus, Epinephelus guttatus",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Epinephelus fulvus,Epinephelus guttatus,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC Grouper 4 Complex,Grouper 4 Complex - St. Croix,"Epinephelus guttatus, Epinephelus adscensionis",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Epinephelus guttatus,Epinephelus adscensionis,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Grouper 6 Complex,Grouper 6 Complex - Puerto Rico,"Epinephelus guttatus, Epinephelus adscensionis",ZJK,,n,,y,,,,,,,,,implicit,"commercial (78%), recreational (22%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Epinephelus guttatus,Epinephelus adscensionis,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ/Comprehensive FMP for St. Croix in the EEZ/Comprehensive FMP for St. Thomas / St. John in the EEZ,Goliath grouper - Caribbean,Goliath grouper - Caribbean,Epinephelus itajara,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,"ABC = 0, ESA listed",Epinephelus itajara,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC / GMFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico,Goliath grouper - Southern Atlantic Coast / Gulf of Mexico,Goliath grouper - Southern Atlantic Coast / Gulf of Mexico,Epinephelus itajara,ZJK,,n,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,,,,,"listed, no harvest",Epinephelus itajara,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,South Atlantic Deepwater Snapper- Grouper Complex,Deepwater Snapper-Grouper Complex - South Atlantic,"Epinephelus niveatus, Hyporthodus flavolimbatus, Epinephelus nigritus, Epinephelus drummondhayi, Epinephelus mystacinus, Lopholatilus chamaeleonticeps, Caulolatilus microps",ZJK,,n,,y,,,,,,,,,explicit,"commercial, recreational","1986-2008, 2006-2008",catch,species-specific,,,,,,,,,,,,,historical,,,,NA,,,,,,Epinephelus itajara,Epinephelus niveatus,Hyporthodus flavolimbatus,Epinephelus nigritus,Epinephelus drummondhayi,Epinephelus mystacinus,Lopholatilus chamaeleonticeps,Caulolatilus microps,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Reef Fish Resources of the Gulf of Mexico,Red grouper - Gulf of Mexico,Red grouper - Gulf of Mexico,Epinephelus morio,ZJK,,y,,y,,,,,,,,,explicit,"recreational (40.7%), commercial (59.3%)",1986-2005,,,,,,,,,,,,,y,,,,,,,,,,,,Epinephelus morio,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Red grouper - Southern Atlantic Coast,Red grouper - Southern Atlantic Coast,Epinephelus morio,ZJK,,y,,y,,,,,,,,,explicit,"commercial (44.00%), recreational (56.00%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,NA,,,,,,Epinephelus morio,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Warsaw grouper - Southern Atlantic Coast,Warsaw grouper - Southern Atlantic Coast,Hyporthodus nigritus,ZJK,,n,y,y,,,,,,,,,explicit,"commercial (17.79%), recreational (82.21%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,NA,,,,,closed since 2019!!!,Hyporthodus nigritus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Snowy grouper - Southern Atlantic Coast,Snowy grouper - Southern Atlantic Coast,Hyporthodus nigritus,ZJK,,y,,y,,,,,,,,,explicit,"commercial (83%), recreational (17%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,NA,,,,,,Hyporthodus nigritus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ/Comprehensive FMP for St. Croix in the EEZ/Comprehensive FMP for St. Thomas / St. John in the EEZ,Nassau grouper - Caribbean,Nassau grouper - Caribbean,Epinephelus striatus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,ABC = 0,Epinephelus striatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Nassau grouper - Southern Atlantic Coast / Gulf of Mexico,Nassau grouper - Southern Atlantic Coast / Gulf of Mexico,Epinephelus striatus,ZJK,,n,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,Epinephelus striatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,American Samoa Archipelago Ecosystem,American Samoa Bottomfish Multi- species Complex,Bottomfish Multi-species Complex - American Samoa,"Etelis carbunculus, Etelis coruscans, Aphareus rutilans, Pristipomoides filamentosus, Pristipomoides sieboldii",CMF,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etelis carbunculus,Etelis coruscans,Aphareus rutilans,Pristipomoides filamentosus,Pristipomoides sieboldii,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Mariana Archipelago Ecosystem,Northern Mariana Islands Bottomfish Multi-species Complex,Bottomfish Multi-species Complex - Northern Mariana Islands,"Etelis carbunculus, Etelis coruscans, Pristipomoides filamentosus, Pristipomoides sieboldii",CMF,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etelis carbunculus,Etelis coruscans,Pristipomoides filamentosus,Pristipomoides sieboldii,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Northwestern Hawaiian Islands Bottomfish Multi-species Complex,Bottomfish Multi-species Complex - Northwestern Hawaiian Islands,"Etelis carbunculus, Etelis coruscans, Pristipomoides filamentosus, Pristipomoides zonatus, Aprion virescens, Seriola dumerili",CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etelis carbunculus,Etelis coruscans,Pristipomoides filamentosus,Pristipomoides zonatus,Aprion virescens,Seriola dumerili,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Mariana Archipelago Ecosystem,Guam Bottomfish Multi-species Complex,Bottomfish Multi-species Complex - Guam,"Etelis carbunculus, Etelis coruscans, Pristipomoides zonatus, Pristipomoides auricilla, Aprion virescens, Pristipomoides multidens",CMF,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etelis carbunculus,Etelis coruscans,Pristipomoides zonatus,Pristipomoides auricilla,Aprion virescens,Pristipomoides multidens,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex,Deep 7 Bottomfish Multi-species Complex - Main Hawaiian Islands,"Etelis carbunculus, Pristipomoides zonatus, Hyporthodus quernus, Pristipomoides sieboldii, Aphareus rutilans, Etelis coruscans, Pristipomoides filamentosus",CMF,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etelis carbunculus,Pristipomoides zonatus,Hyporthodus quernus,Pristipomoides sieboldii,Aphareus rutilans,Etelis coruscans,Pristipomoides filamentosus,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC queen snapper,Queen snapper - St. Croix,Etelis oculatus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Etelis oculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ queen snapper,Queen snapper - St. Thomas / St. John,Etelis oculatus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Etelis oculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Coastal Pelagic Species,Krill (Euphausiacea) - Pacific Coast,Krill (Euphausiacea) - Pacific Coast,Euphausiacea,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euphausiacea,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Kawakawa - Pacific,Kawakawa - Pacific,Euthynnus affinis,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euthynnus affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Tunas Complex,Tunas Complex - Puerto Rico,"Euthynnus alletteratus, Thunnus atlanticus",ZJK,,n,,y,,,,,,,,,implicit,"commercial (70.6%), recreational (29.4%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Euthynnus alletteratus,Thunnus atlanticus,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Shrimp Fishery of the Gulf of Mexico,Brown shrimp - Gulf of Mexico,Brown shrimp - Gulf of Mexico,Farfantepenaeus aztecus,ZJK,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farfantepenaeus aztecus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Shrimp Fishery of the South Atlantic Region,Brown shrimp - Southern Atlantic Coast,Brown shrimp - Southern Atlantic Coast,Farfantepenaeus aztecus,ZJK,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farfantepenaeus aztecus,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Shrimp Fishery of the Gulf of Mexico,Pink shrimp - Gulf of Mexico,Pink shrimp - Gulf of Mexico,Farfantepenaeus duorarum,ZJK,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farfantepenaeus duorarum,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Shrimp Fishery of the South Atlantic Region,Pink shrimp - Southern Atlantic Coast,Pink shrimp - Southern Atlantic Coast,Farfantepenaeus duorarum,ZJK,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farfantepenaeus duorarum,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific cod - Aleutian Islands,Pacific cod - Aleutian Islands,Gadus macrocephalus,ZJK,,y,n,y,,,,,,,,,,,,,,,CDQ; Pot C/P; Pot CV >60ft; Hook-and-line/pot < 60ft; Trawl CV; AFA trawl C/P; Amendment 80; Jig; Hook-and-line CV > 60ft; Hook-and-line C/P; ICA,,BS and AI TAC merged after CDQ allocated,,,,Season A; Season B; Season C,,if/how seasons are implemented varies by subsector,y,Pacific Cod Trawl Catcher Program (PCTC): 2024; Amendment 80 trawl CP: 2008,historical,PCTC Trawl CV subsector only: harvester and processor: drop lowest year 2009-2019 (+ 2004-2009 if LLP license with transferable AI endorsement); Amendment 80 Trawl C/P: Best 5 of 1998 - 2004,"PCTC: QS & annual CQ: 5% harvester-issued, 20 percent of processor-issued; Amendment 80: person = 30%; vessel = 20%",y,PCTC: individual_processor; Amendment 80: individual_cooperative,NPFMC,,"Amendment 80: individuals can transfer ownership of quota to cooperatives annually; Transfers must be approved by NMFS before they become effective. Once a CQ transfer has been approved by NMFS, the CQ account of the transferring cooperative is debited and the CQ account of the receiving cooperative is credited.",PCTC: https://www.fisheries.noaa.gov/s3/2023-08/PCTC-Small-Entity-Compliance-Guide-FAQ.pdf,PCTC catchshare program only for trawl CV subsector; Amendment 80 catchshare program only for non-AFA C/P vessels,Gadus macrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific cod - Bering Sea,Pacific cod - Bering Sea,Gadus macrocephalus,ZJK,,y,n,y,,,,,,,,,,,,,,,CDQ; Pot C/P; Pot CV >60ft; Hook-and-line/pot < 60ft; Trawl CV; AFA trawl C/P; Amendment 80; Jig; Hook-and-line CV > 60ft; Hook-and-line C/P; ICA,,BS and AI TAC merged after CDQ allocated,,,,Season A; Season B; Season C,,if/how seasons are implemented varies by subsector,y,Pacific Cod Trawl Catcher Program (PCTC): 2024; Amendment 80 trawl CP: 2008,historical,PCTC Trawl CV subsector only: harvester and processor: drop lowest year 2009-2019 (+ 2004-2009 if LLP license with transferable AI endorsement); Amendment 80 Trawl C/P: Best 5 of 1998 - 2004,"PCTC: QS & annual CQ: 5% harvester-issued, 20 percent of processor-issued; Amendment 80: person = 30%; vessel = 20%",y,PCTC: individual_processor; Amendment 80: individual_cooperative,NPFMC,,"Amendment 80: individuals can transfer ownership of quota to cooperatives annually; Transfers must be approved by NMFS before they become effective. Once a CQ transfer has been approved by NMFS, the CQ account of the transferring cooperative is debited and the CQ account of the receiving cooperative is credited.",PCTC: https://www.fisheries.noaa.gov/s3/2023-08/PCTC-Small-Entity-Compliance-Guide-FAQ.pdf,PCTC catchshare program only for trawl CV subsector; Amendment 80 catchshare program only for non-AFA C/P vessels,Gadus macrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,
